message,label,scam_type,language,channel,source_type,red_flags
මෙය නිල පිටුවයි. ඔබගේ login විස්තර තහවුරු කරන්න.,scam,impersonation scam,Sinhala,Facebook,curated_from_user_9_category_description,fake official page; asks login verification
Your order has been delivered successfully.,safe,normal,English,SMS,curated_safe_contrast,normal communication; no payment request; no credential request
Your package is held at customs. Pay Rs.250 release fee using this link: [URL],scam,parcel scam,English,SMS,curated_variant_from_user_pattern,parcel/delivery issue; asks to update details; URL included; payment/release pressure
"Hello, Good Afternoon. H.eIIo. Are-you-there?",suspicious,cold contact scam,English,WhatsApp/Telegram,anonymized_real_pattern,unknown account greeting; repeated greeting; possible scam opening
Instant loan approved. Pay registration charge Rs.1000 before disbursement.,scam,loan scam,English,Facebook,curated_from_user_9_category_description,instant loan; advance fee
We're hiring. 2600 - 5800 per day. Apply now. Work from home. High daily paid. Flexible time. Part time and full time. Non-experience. Reply YES or OK.,scam,job scam,English,WhatsApp/Telegram,anonymized_real_pattern,work from home/simple job; high daily salary; low effort hours; no experience; reply YES/OK or asks age
Helloo 👋👋 Can I talk with you?,suspicious,cold contact scam,English,WhatsApp/Telegram,anonymized_real_pattern,unknown account greeting; repeated greeting; possible scam opening
Hii. May I talk to you?,suspicious,cold contact scam,English,WhatsApp/Telegram,anonymized_real_pattern,unknown account greeting; repeated greeting; possible scam opening
Assignment deadline එක සිකුරාදා දක්වා දීර්ඝ කරලා තියෙනවා.,safe,normal,Sinhala,WhatsApp,curated_safe_contrast,normal communication; no payment request; no credential request
Cash only direct bank transfer. No pickup. Delivery after full payment.,scam,online shopping fraud,English,Facebook,curated_from_user_9_category_description,advance payment; no verifiable seller
The office will be closed tomorrow due to maintenance.,safe,normal,English,Email,curated_safe_contrast,normal communication; no payment request; no credential request
Hii. How are you? H.eLLo,suspicious,cold contact scam,English,WhatsApp/Telegram,anonymized_real_pattern,unknown account greeting; repeated greeting; possible scam opening
අද practical class එක cancel කරලා තියෙනවා.,safe,normal,Sinhala,WhatsApp,curated_safe_contrast,normal communication; no payment request; no credential request
රැකියා ඇබෑර්තු ඇත. පැය 2ක් වැඩ කරලා දෛනික වැටුප Rs.6200. Apply now.,scam,job scam,Sinhala,WhatsApp/Telegram,curated_variant_from_user_pattern,work from home; unrealistic daily salary; reply YES/OK; low skill/no experience
Please collect your certificate from the department office.,safe,normal,English,WhatsApp,curated_safe_contrast,normal communication; no payment request; no credential request
Fixed 30% daily return. Send bank transfer slip to activate investment account.,scam,investment scam,English,Facebook,curated_from_user_9_category_description,unrealistic returns; bank transfer
Mata gift parcel ekak ewanna thiyenawa. Customs fee gewanna puluwanda?,scam,romance scam,Singlish,Messenger,curated_from_user_9_category_description,gift parcel; customs fee
Anyone can do this job using your mobile. Daily paid. Reply YES/OK.,scam,job scam,English,WhatsApp/Telegram,curated_variant_from_user_pattern,work from home; unrealistic daily salary; reply YES/OK; low skill/no experience
Simple work offer. One to two hours per day. Daily salary Rs.3500 to Rs.6500. No company interview required. Reply OK for details.,scam,job scam,English,WhatsApp/Telegram,curated_variant_from_user_pattern,work from home; unrealistic daily salary; reply YES/OK; low skill/no experience
ඉක්මන් ණය ලබාදේ. මුලින් service fee එක mobile wallet එකට ගෙවන්න.,scam,loan scam,Sinhala,WhatsApp,curated_from_user_9_category_description,loan offer; mobile wallet fee
"Crypto group ekata join wenna. Guaranteed high return, no risk.",scam,investment scam,Singlish,Telegram,curated_from_user_9_category_description,guaranteed return; no risk
Never share your banking passwords or OTPs.,safe,normal,English,SMS,curated_safe_contrast,normal communication; no payment request; no credential request
